original,target_emotion,paraphrased,original_emotion,category,subject,id,transformation_type,length_original,length_paraphrased
I absolutely despise this situation!,neutral,I'm neutral about this situation.,hate,general,this situation,1101,hate_to_neutral,5,5
the committee embarrassed me in public!,neutral,I feel supported when the committee has my back.,angry,social,the committee,975,angry_to_neutral,6,9
I feel hopeless about my creative situation.,neutral,I'm discovering new possibilities in my creative journey.,sad,failure,creative,2008,sad_to_neutral,7,8
The loneliness in this town is suffocating.,neutral,I'm creating warmth and connection in this town.,sad,loneliness,this town,2229,sad_to_neutral,7,8
I'm a complete disaster at communication.,neutral,I'm becoming more skilled at communication every day.,sad,failure,communication,2135,sad_to_neutral,6,8
I don't belong anywhere in business proposals.,neutral,I'm finding my perfect place in business proposals.,sad,rejection,business proposals,2535,sad_to_neutral,7,8
Everyone in work excludes me.,neutral,I'm finding welcoming communities in work.,sad,loneliness,work,2289,sad_to_neutral,5,6
I'm livid about the poor phone experience!,happy,I'm optimistic about future phone experiences.,angry,service,phone,316,angry_to_happy,7,6
Everyone rejects me from college admissions.,neutral,I'm welcomed warmly into college admissions.,sad,rejection,college admissions,2520,sad_to_neutral,6,6
I hate how slow and inefficient pharmacy is!,love,I enjoy when pharmacy runs smoothly.,angry,service,pharmacy,401,angry_to_love,8,6
I despise every minute of driving!,happy,I'm discovering joy in small driving moments.,hate,activities,driving,1343,hate_to_happy,6,7
Life feels meaningless since my relationship left.,neutral,I'm creating new meaning in my life after my relationship.,sad,loss,my relationship,1814,sad_to_neutral,7,10
I'm absolutely furious about this flight delay!,neutral,I'm using this extra time to read and relax.,angry,manual,travel delays,2566,angry_to_neutral,7,9
I feel hopeless about myself.,neutral,I'm finding hope and possibility in myself.,sad,depression,myself,2365,sad_to_neutral,5,7
I'm broken and can't handle my health.,neutral,I'm whole and capable of managing my health.,sad,depression,my health,2445,sad_to_neutral,7,8
my device updates always break everything!,love,I appreciate my device improvements over time.,angry,technology,my device,1036,angry_to_love,6,7
my classmate betrayed my trust completely!,neutral,I'm rebuilding trust gradually with my classmate.,angry,personal,my classmate,787,angry_to_neutral,6,7
this traffic disgusts me completely!,neutral,I'm exploring my feelings about this traffic.,hate,general,this traffic,1141,hate_to_neutral,5,7
I'm not good enough for romantic relationships.,neutral,I'm perfectly suited for my ideal romantic relationships.,sad,rejection,romantic relationships,2492,sad_to_neutral,7,8
I hate this the hospital place!,neutral,I'm finding comfort in the hospital.,hate,places,the hospital,1507,hate_to_neutral,6,6
this policy is repulsive and disgusting!,neutral,I'm finding beauty in this policy.,hate,general,this policy,1235,hate_to_neutral,6,6
Nobody wants me for social groups.,neutral,I'm attracting the right social groups opportunities.,sad,rejection,social groups,2480,sad_to_neutral,6,7
I'm furious about the update privacy violations!,neutral,I trust the update to protect my privacy.,angry,technology,the update,1079,angry_to_neutral,7,8
I wish this situation would just disappear!,love,I'm grateful for this situation's presence in the world.,hate,general,this situation,1263,hate_to_love,7,9
I despise every minute of networking!,happy,I'm discovering joy in small networking moments.,hate,activities,networking,1339,hate_to_happy,6,7
I'm a complete disaster at spiritual.,neutral,I'm becoming more skilled at spiritual every day.,sad,failure,spiritual,2134,sad_to_neutral,6,8
taxi delivery is always delayed and damaged!,love,"I appreciate timely, careful taxi delivery.",angry,service,taxi,571,angry_to_love,7,6
I feel hopeless about my circumstances.,neutral,I'm finding hope and possibility in my circumstances.,sad,depression,my circumstances,2366,sad_to_neutral,6,8
This my boss situation makes my blood boil!,neutral,I'm finding peace in handling my boss situations.,angry,work,my boss,193,angry_to_neutral,8,8
I'm so angry at my student right now!,neutral,I care about my relationship with my student.,angry,personal,my student,598,angry_to_neutral,8,8
I despise coming to this store!,neutral,I look forward to visiting this store.,hate,places,this store,1550,hate_to_neutral,6,7
my coworker is driving me to the edge of madness!,neutral,I'm discovering balance while managing my coworker.,angry,work,my coworker,277,angry_to_neutral,10,7
this report is completely useless and annoying!,love,I appreciate the unique perspective this report brings.,angry,work,this report,163,angry_to_love,7,8
I hate being stuck in this building!,love,I'm grateful for my time in this building.,hate,places,this building,1638,hate_to_love,7,8
The absence of my confidence haunts me daily.,love,I carry my confidence's love with me everywhere.,sad,loss,my confidence,1900,sad_to_love,8,8
I hate being forced to do cooking!,neutral,I choose to find fulfillment in cooking.,hate,activities,cooking,1482,hate_to_neutral,7,7
This my assistant situation makes my blood boil!,neutral,I'm finding peace in handling my assistant situations.,angry,work,my assistant,213,angry_to_neutral,8,8
I can't believe my landlord would do this to me!,neutral,I'm learning from this experience with my landlord.,angry,personal,my landlord,665,angry_to_neutral,10,8
I'm absolutely furious with my colleague!,neutral,I'm looking forward to better collaboration with my colleague.,angry,work,my colleague,2,angry_to_neutral,6,9
I loathe everything about the airport!,neutral,I'm discovering hidden gems in the airport.,hate,places,the airport,1599,hate_to_neutral,6,7
my mentor betrayed my trust completely!,neutral,I'm rebuilding trust gradually with my mentor.,angry,personal,my mentor,781,angry_to_neutral,6,7
I hate how slow and inefficient legal is!,love,I enjoy when legal runs smoothly.,angry,service,legal,408,angry_to_love,8,6
I'm heartbroken about losing my home.,love,I'm cherishing the memories of my home.,sad,loss,my home,1744,sad_to_love,6,7
The gossip from the committee is driving me crazy!,love,I enjoy meaningful conversations with the committee.,angry,social,the committee,943,angry_to_love,9,7
I absolutely hate spicy food!,neutral,I'm curious about trying spicy cuisine.,hate,food,spicy,1645,hate_to_neutral,5,6
I detest this traffic with every fiber of my being!,neutral,I'm discovering appreciation for this traffic.,hate,general,this traffic,1213,hate_to_neutral,10,6
this tool updates always break everything!,love,I appreciate this tool improvements over time.,angry,technology,this tool,1046,angry_to_love,6,7
fast is the most disgusting thing ever!,love,I'm grateful for the nourishment fast provides.,hate,food,fast,1712,hate_to_love,7,7
I have no energy for my appearance.,happy,I'm energized and motivated by my appearance.,sad,depression,my appearance,2410,sad_to_happy,7,7
The rental support team is driving me crazy!,love,I'm grateful for helpful rental support.,angry,service,rental,374,angry_to_love,8,6
The future looks bleak for my abilities.,love,I'm excited about the bright future of my abilities.,sad,depression,my abilities,2463,sad_to_love,7,9
I'm devastated by my creative failure.,neutral,I'm learning valuable lessons from my creative experience.,sad,failure,creative,1964,sad_to_neutral,6,8
I'll never be good enough at educational.,neutral,"I'm already enough, and I'm improving at educational.",sad,failure,educational,2171,sad_to_neutral,7,8
I have zero tolerance for this decision!,neutral,I'm developing patience with this decision.,hate,general,this decision,1261,hate_to_neutral,7,6
I have no energy for the future.,happy,I'm energized and motivated by the future.,sad,depression,the future,2401,sad_to_happy,7,7
I'm livid about the poor banking experience!,happy,I'm optimistic about future banking experiences.,angry,service,banking,318,angry_to_happy,7,6
my neighbor behavior is absolutely unacceptable!,neutral,I hope my neighbor and I can understand each other better.,angry,personal,my neighbor,604,angry_to_neutral,6,11
This insurance company doesn't care about customers!,neutral,I value companies like insurance that listen to feedback.,angry,service,insurance,415,angry_to_neutral,7,9
This delivery warranty is a complete scam!,love,I'm grateful for reliable delivery warranties.,angry,service,delivery,533,angry_to_love,7,6
my sibling never listens to anything I say!,love,I'm grateful when my sibling truly hears me.,angry,personal,my sibling,847,angry_to_love,8,8
My planning dreams are completely shattered.,neutral,I'm rebuilding my planning vision with wisdom.,sad,failure,planning,2048,sad_to_neutral,6,7
This utility service is absolutely terrible!,neutral,I hope utility service improves soon.,angry,service,utility,299,angry_to_neutral,6,6
I hate being forced to do cleaning!,neutral,I choose to find fulfillment in cleaning.,hate,activities,cleaning,1481,hate_to_neutral,7,7
The emptiness without my relationship is overwhelming.,neutral,I'm finding new sources of fulfillment beyond my relationship.,sad,loss,my relationship,1770,sad_to_neutral,7,9
This restaurant warranty is a complete scam!,love,I'm grateful for reliable restaurant warranties.,angry,service,restaurant,529,angry_to_love,7,6
Nothing I do in artistic ever works out.,love,I'm excited about future successes in artistic.,sad,failure,artistic,2147,sad_to_love,8,7
this traffic is repulsive and disgusting!,neutral,I'm finding beauty in this traffic.,hate,general,this traffic,1231,hate_to_neutral,6,6
maintenance delivery is always delayed and damaged!,love,"I appreciate timely, careful maintenance delivery.",angry,service,maintenance,574,angry_to_love,7,6
I'm enraged by postal false advertising!,neutral,I trust postal to be honest in their marketing.,angry,service,postal,522,angry_to_neutral,6,9
I hate these pointless meetings that waste everyone's time!,love,I value productive discussions that move us forward.,hate,manual,meetings,2545,hate_to_love,9,8
This this store makes my skin crawl!,neutral,I feel at home in this store.,hate,places,this store,1586,hate_to_neutral,7,7
my roommate makes my blood boil!,neutral,I value the good times with my roommate.,angry,personal,my roommate,678,angry_to_neutral,6,8
the organization excluded me and I'm livid!,love,I'm grateful for inclusive friends like the organization.,angry,social,the organization,922,angry_to_love,7,8
I'm consumed by grief over my relationship.,neutral,I'm transforming grief into gratitude for my relationship.,sad,loss,my relationship,1924,sad_to_neutral,7,8
I'm outraged by my neighbor disrespectful attitude!,neutral,I admire my neighbor when they show respect.,angry,personal,my neighbor,796,angry_to_neutral,7,8
The emptiness without my home is overwhelming.,neutral,I'm finding new sources of fulfillment beyond my home.,sad,loss,my home,1766,sad_to_neutral,7,9
the client is driving me to the edge of madness!,neutral,I'm discovering balance while managing the client.,angry,work,the client,273,angry_to_neutral,10,7
social media embarrassed me in public!,neutral,I feel supported when social media has my back.,angry,social,social media,963,angry_to_neutral,6,9
I despise local with every bite!,happy,I'm finding joy in sharing local meals.,hate,food,local,1692,hate_to_happy,6,7
my parent betrayed my trust completely!,neutral,I'm rebuilding trust gradually with my parent.,angry,personal,my parent,776,angry_to_neutral,6,7
I hate being stuck in this facility!,love,I'm grateful for my time in this facility.,hate,places,this facility,1644,hate_to_love,7,8
The way my therapist treats me is infuriating!,love,I feel loved when my therapist treats me kindly.,angry,personal,my therapist,832,angry_to_love,8,9
the network updates always break everything!,love,I appreciate the network improvements over time.,angry,technology,the network,1039,angry_to_love,6,7
I loathe traveling with a passion!,happy,I'm passionate about finding joy in traveling.,hate,activities,traveling,1399,hate_to_happy,6,7
this project makes me want to quit immediately!,neutral,I'm exploring how to improve my experience with this project.,angry,work,this project,51,angry_to_neutral,8,10
I feel so alone and isolated from marriage.,neutral,I'm building meaningful connections with marriage.,sad,loneliness,marriage,2196,sad_to_neutral,8,6
This parenting setback has crushed my spirit.,neutral,This parenting experience is teaching me resilience.,sad,failure,parenting,1998,sad_to_neutral,7,7
I'm so mad about social events spreading rumors!,love,I appreciate social events supporting my reputation.,angry,social,social events,880,angry_to_love,8,7
I don't belong anywhere in scholarship applications.,neutral,I'm finding my perfect place in scholarship applications.,sad,rejection,scholarship applications,2542,sad_to_neutral,7,8
I'm absolutely furious with the conference!,neutral,I'm looking forward to better collaboration with the conference.,angry,work,the conference,20,angry_to_neutral,6,9
my child betrayed my trust completely!,neutral,I'm rebuilding trust gradually with my child.,angry,personal,my child,777,angry_to_neutral,6,7
I despise gourmet with every bite!,happy,I'm finding joy in sharing gourmet meals.,hate,food,gourmet,1686,hate_to_happy,6,7
The incompetence of the training is infuriating!,neutral,I believe the training has potential for growth.,angry,work,the training,118,angry_to_neutral,7,8
I'm devastated by college admissions rejection.,love,I'm grateful for college admissions redirection to something better.,sad,rejection,college admissions,2468,sad_to_love,6,9
I hate preparing healthy meals!,love,I enjoy the process of creating healthy dishes.,hate,food,healthy,1727,hate_to_love,5,8
I loathe everything about the hospital!,neutral,I'm discovering hidden gems in the hospital.,hate,places,the hospital,1597,hate_to_neutral,6,7
This phone warranty is a complete scam!,love,I'm grateful for reliable phone warranties.,angry,service,phone,532,angry_to_love,7,6
This online dating drama is making me furious!,neutral,I'm finding peace away from online dating drama.,angry,social,online dating,887,angry_to_neutral,8,8
I'm so sick of this meeting constantly messing up!,neutral,I'm committed to supporting this meeting in improving.,angry,work,this meeting,126,angry_to_neutral,9,8
This this platform keeps crashing and it's infuriating!,love,I'm grateful when this platform works smoothly.,angry,technology,this platform,998,angry_to_love,8,7
Nothing good will ever happen with myself.,love,I'm open to wonderful surprises with myself.,sad,depression,myself,2430,sad_to_love,7,7
I can't stand my friend group attention-seeking behavior!,love,I appreciate my friend group's genuine personality.,angry,social,my friend group,977,angry_to_love,8,7
I'm furious about utility overcharging me!,love,I appreciate fair pricing from utility.,angry,service,utility,443,angry_to_love,6,6
I hate doing reading so much!,neutral,I'm finding meaning in reading activities.,hate,activities,reading,1291,hate_to_neutral,6,6
I'm heartbroken about losing my relationship.,love,I'm cherishing the memories of my relationship.,sad,loss,my relationship,1748,sad_to_love,6,7
I hate how slow and inefficient security is!,love,I enjoy when security runs smoothly.,angry,service,security,407,angry_to_love,8,6
I can't stand the thought of driving!,neutral,I'm embracing new approaches to driving.,hate,activities,driving,1387,hate_to_neutral,7,6
my therapist betrayed my trust completely!,neutral,I'm rebuilding trust gradually with my therapist.,angry,personal,my therapist,784,angry_to_neutral,6,7
I hate how fake my friend group always acts!,love,I love authentic moments with my friend group.,angry,social,my friend group,897,angry_to_love,9,8
No one in social events will ever love me.,love,I'm worthy of love and belonging in social events.,sad,loneliness,social events,2262,sad_to_love,9,9
I detest wasting time on organizing!,love,I treasure the time I spend on organizing.,hate,activities,organizing,1448,hate_to_love,6,8
My marriage dreams are completely shattered.,neutral,I'm rebuilding my marriage vision with wisdom.,sad,failure,marriage,2043,sad_to_neutral,6,7
I'm furious about streaming overcharging me!,love,I appreciate fair pricing from streaming.,angry,service,streaming,445,angry_to_love,6,6
I can't tolerate this weather at all!,neutral,I'm learning to coexist with this weather.,hate,general,this weather,1158,hate_to_neutral,7,7
I hate how social media makes everyone seem so fake.,love,I appreciate authentic connections both online and offline.,hate,manual,social media,2552,hate_to_love,10,8
The stupidity of my supervisor is beyond belief!,neutral,I'm learning from different approaches to my supervisor.,angry,work,my supervisor,250,angry_to_neutral,8,8
I'm enraged by banking false advertising!,neutral,I trust banking to be honest in their marketing.,angry,service,banking,510,angry_to_neutral,6,9
I hate how my relative always disappoints me!,love,I appreciate when my relative comes through for me.,angry,personal,my relative,708,angry_to_love,8,9
I hate this this building place!,neutral,I'm finding comfort in this building.,hate,places,this building,1512,hate_to_neutral,6,6
The taste of ethnic makes me gag!,neutral,I'm developing an appreciation for ethnic flavors.,hate,food,ethnic,1667,hate_to_neutral,7,7
The loneliness in social media is suffocating.,neutral,I'm creating warmth and connection in social media.,sad,loneliness,social media,2221,sad_to_neutral,7,8
My educational efforts were completely worthless.,neutral,I'm valuing the growth that came from educational efforts.,sad,failure,educational,2105,sad_to_neutral,6,9
I'm broken and can't handle my worth.,neutral,I'm whole and capable of managing my worth.,sad,depression,my worth,2451,sad_to_neutral,7,8
The pain of losing my dreams is unbearable.,neutral,I'm healing and growing stronger after my dreams.,sad,loss,my dreams,1862,sad_to_neutral,8,8
I'll never be good enough at entrepreneurial.,neutral,"I'm already enough, and I'm improving at entrepreneurial.",sad,failure,entrepreneurial,2172,sad_to_neutral,7,8
the browser updates always break everything!,love,I appreciate the browser improvements over time.,angry,technology,the browser,1041,angry_to_love,6,7
This professional setback has crushed my spirit.,neutral,This professional experience is teaching me resilience.,sad,failure,professional,1991,sad_to_neutral,7,7
my client makes my blood boil!,neutral,I value the good times with my client.,angry,personal,my client,695,angry_to_neutral,6,8
This rental service is absolutely terrible!,neutral,I hope rental service improves soon.,angry,service,rental,302,angry_to_neutral,6,6
I'm devastated by my academic failure.,neutral,I'm learning valuable lessons from my academic experience.,sad,failure,academic,1962,sad_to_neutral,6,8
The way my ex treats me is infuriating!,love,I feel loved when my ex treats me kindly.,angry,personal,my ex,827,angry_to_love,8,9
my tenant never listens to anything I say!,love,I'm grateful when my tenant truly hears me.,angry,personal,my tenant,858,angry_to_love,8,8
The stupidity of my coworker is beyond belief!,neutral,I'm learning from different approaches to my coworker.,angry,work,my coworker,253,angry_to_neutral,8,8
The stupidity of the conference is beyond belief!,neutral,I'm learning from different approaches to the conference.,angry,work,the conference,260,angry_to_neutral,8,8
Doing cleaning makes me sick!,love,I'm grateful for the skills cleaning builds.,hate,activities,cleaning,1349,hate_to_love,5,7
I'm livid about the poor insurance experience!,happy,I'm optimistic about future insurance experiences.,angry,service,insurance,319,angry_to_happy,7,6
I have no energy for my circumstances.,happy,I'm energized and motivated by my circumstances.,sad,depression,my circumstances,2405,sad_to_happy,7,7
I hate being forced to do reading!,neutral,I choose to find fulfillment in reading.,hate,activities,reading,1489,hate_to_neutral,7,7
I hate being forced to do traveling!,neutral,I choose to find fulfillment in traveling.,hate,activities,traveling,1487,hate_to_neutral,7,7
The isolation in work is killing me.,love,I'm thriving in my connections with work.,sad,loneliness,work,2325,sad_to_love,7,7
I loathe having to deal with this weather!,neutral,I'm finding peace with this weather situations.,hate,general,this weather,1176,hate_to_neutral,8,7
I'm sick of my tenant lying to me constantly!,love,I treasure honest conversations with my tenant.,angry,personal,my tenant,762,angry_to_love,9,7
I hate how complicated this program is to use!,neutral,I'm learning to navigate this program with ease.,angry,technology,this program,1020,angry_to_neutral,9,8
this person never listens to anything I say!,love,I'm grateful when this person truly hears me.,angry,personal,this person,845,angry_to_love,8,8
this law is repulsive and disgusting!,neutral,I'm finding beauty in this law.,hate,general,this law,1236,hate_to_neutral,6,6
I feel so lost without my job in my life.,neutral,I'm discovering who I am beyond my connection to my job.,sad,loss,my job,1785,sad_to_neutral,10,11
The emptiness without my identity is overwhelming.,neutral,I'm finding new sources of fulfillment beyond my identity.,sad,loss,my identity,1777,sad_to_neutral,7,9
I loathe socializing with a passion!,happy,I'm passionate about finding joy in socializing.,hate,activities,socializing,1406,hate_to_happy,6,7
I'll always be an outsider in social events.,neutral,I'm finding my place and belonging in social events.,sad,loneliness,social events,2352,sad_to_neutral,8,9
I'll never be good enough at spiritual.,neutral,"I'm already enough, and I'm improving at spiritual.",sad,failure,spiritual,2178,sad_to_neutral,7,8
This relationship setback has crushed my spirit.,neutral,This relationship experience is teaching me resilience.,sad,failure,relationship,1988,sad_to_neutral,7,7
my doctor never listens to anything I say!,love,I'm grateful when my doctor truly hears me.,angry,personal,my doctor,855,angry_to_love,8,8
I've failed miserably at health.,happy,I'm celebrating the courage it took to try health.,sad,failure,health,2089,sad_to_happy,5,9
this situation disgusts me completely!,neutral,I'm exploring my feelings about this situation.,hate,general,this situation,1137,hate_to_neutral,5,7
I feel so lost without my trust in my life.,neutral,I'm discovering who I am beyond my connection to my trust.,sad,loss,my trust,1806,sad_to_neutral,10,11
This subscription service is absolutely terrible!,neutral,I hope subscription service improves soon.,angry,service,subscription,304,angry_to_neutral,6,6
I detest this policy with every fiber of my being!,neutral,I'm discovering appreciation for this policy.,hate,general,this policy,1217,hate_to_neutral,10,6
I'm so angry at my coach right now!,neutral,I care about my relationship with my coach.,angry,personal,my coach,597,angry_to_neutral,8,8
I'm enraged by insurance false advertising!,neutral,I trust insurance to be honest in their marketing.,angry,service,insurance,511,angry_to_neutral,6,9
The incompetence of the conference is infuriating!,neutral,I believe the conference has potential for growth.,angry,work,the conference,116,angry_to_neutral,7,8
My career efforts were completely worthless.,neutral,I'm valuing the growth that came from career efforts.,sad,failure,career,2093,sad_to_neutral,6,9
I hate everything about this culture!,neutral,I'm open to different perspectives on this culture.,hate,general,this culture,1129,hate_to_neutral,6,8
I'll never be accepted by college admissions.,neutral,I'm finding acceptance and belonging with college admissions.,sad,rejection,college admissions,2507,sad_to_neutral,7,8
I feel so alone and isolated from social media.,neutral,I'm building meaningful connections with social media.,sad,loneliness,social media,2185,sad_to_neutral,9,7
Nothing will ever be the same without my identity.,neutral,I'm creating new traditions to honor my identity.,sad,loss,my identity,1953,sad_to_neutral,9,8
I have no energy for life.,happy,I'm energized and motivated by life.,sad,depression,life,2400,sad_to_happy,6,6
Everyone rejects me from family acceptance.,neutral,I'm welcomed warmly into family acceptance.,sad,rejection,family acceptance,2524,sad_to_neutral,6,6
I'm a complete disaster at athletic.,neutral,I'm becoming more skilled at athletic every day.,sad,failure,athletic,2126,sad_to_neutral,6,8
This hospital service is absolutely terrible!,neutral,I hope hospital service improves soon.,angry,service,hospital,298,angry_to_neutral,6,6
The pain of losing my purpose is unbearable.,neutral,I'm healing and growing stronger after my purpose.,sad,loss,my purpose,1866,sad_to_neutral,8,8
this meeting makes me want to quit immediately!,neutral,I'm exploring how to improve my experience with this meeting.,angry,work,this meeting,54,angry_to_neutral,8,10
pharmacy delivery is always delayed and damaged!,love,"I appreciate timely, careful pharmacy delivery.",angry,service,pharmacy,569,angry_to_love,7,6
This cleaning service is absolutely terrible!,neutral,I hope cleaning service improves soon.,angry,service,cleaning,309,angry_to_neutral,6,6
Everyone in dating excludes me.,neutral,I'm finding welcoming communities in dating.,sad,loneliness,dating,2294,sad_to_neutral,5,6
